employee_id,project_id,hours_worked
25,10,174.7
92,8,44.5
90,9,59.4
50,11,72.2
64,11,96.4
52,18,74.1
32,3,177.1
19,5,62.9
84,5,190.7
89,8,90.1
1,13,168.6
97,5,99.4
99,7,152.3
14,3,19.9
100,14,190.9
55,14,52.6
29,11,23.0
23,18,191.9
90,15,17.6
67,14,15.9
60,2,57.0
7,7,169.5
72,14,128.1
32,13,55.3
16,19,100.0
59,1,31.7
18,19,190.1
60,13,98.4
86,16,58.7
68,1,80.1
72,12,125.1
77,10,193.1
41,13,146.5
97,14,157.8
57,18,41.1
79,18,69.1
93,20,120.0
65,8,186.5
55,16,119.4
71,8,182.5
58,9,81.3
21,14,188.9
96,16,47.7
61,1,122.5
58,13,167.8
34,11,56.1
97,13,142.5
32,6,67.3
82,15,140.0
36,5,163.1
99,20,161.3
100,18,117.5
67,1,17.8
63,13,111.2
81,19,135.7
31,19,23.1
36,1,133.0
57,3,12.4
10,14,89.8
92,5,103.1
