order_item_id,order_id,product_name,quantity,price
1,180,Product 2,3,163.36
2,30,Product 9,2,221.08
3,168,Product 9,4,74.58
4,167,Product 9,1,11.01
5,197,Product 1,3,16.59
6,142,Product 6,4,96.53
7,185,Product 10,2,205.31
8,56,Product 3,2,167.89
9,111,Product 10,1,164.26
10,116,Product 7,1,248.77
11,59,Product 3,3,81.78
12,106,Product 3,4,110.39
13,87,Product 3,5,89.94
14,117,Product 10,4,281.85
15,103,Product 3,2,220.26
16,107,Product 8,2,42.72
17,187,Product 1,3,244.75
18,25,Product 7,5,131.58
19,81,Product 6,3,232.16
20,110,Product 4,2,266.29
21,81,Product 8,2,14.54
22,171,Product 10,4,69.76
23,66,Product 5,5,39.26
24,96,Product 8,4,19.74
25,40,Product 4,4,183.36
26,176,Product 9,3,213.95
27,122,Product 4,4,24.12
28,18,Product 5,1,224.76
29,24,Product 8,1,126.66
30,22,Product 4,4,77.96
31,24,Product 6,5,73.01
32,111,Product 10,4,260.48
33,25,Product 8,2,26.37
34,191,Product 8,2,156.13
35,190,Product 5,5,93.89
36,96,Product 7,3,246.58
37,34,Product 9,1,222.14
38,143,Product 9,1,102.48
39,16,Product 7,3,183.4
40,151,Product 3,4,205.03
41,144,Product 4,5,102.99
42,144,Product 10,4,97.51
43,85,Product 3,3,51.55
44,172,Product 5,5,201.46
45,32,Product 1,1,74.1
46,106,Product 8,1,97.15
47,91,Product 6,4,27.68
48,171,Product 9,2,285.07
49,193,Product 2,3,265.12
50,109,Product 9,3,274.36
51,185,Product 2,4,191.54
52,14,Product 5,3,133.89
53,74,Product 2,1,153.73
54,154,Product 3,4,291.96
55,80,Product 5,1,283.06
56,91,Product 8,5,204.69
57,27,Product 9,5,237.88
58,148,Product 3,2,102.43
59,130,Product 7,3,130.73
60,55,Product 2,5,53.27
61,40,Product 4,3,119.17
62,169,Product 8,1,228.78
63,124,Product 6,4,147.32
64,58,Product 1,5,256.31
65,28,Product 7,4,97.21
66,90,Product 1,5,215.2
67,143,Product 7,3,243.68
68,95,Product 9,5,275.27
69,30,Product 6,5,173.09
70,196,Product 4,1,290.66
71,72,Product 7,2,171.61
72,147,Product 2,1,48.89
73,58,Product 6,4,80.43
74,110,Product 4,3,68.97
75,144,Product 1,3,197.54
76,197,Product 6,5,277.45
77,160,Product 2,3,255.67
78,158,Product 6,2,36.81
79,173,Product 3,2,220.13
80,165,Product 3,5,65.24
81,143,Product 1,5,87.85
82,7,Product 5,4,205.36
83,156,Product 8,5,184.85
84,169,Product 3,1,263.35
85,178,Product 8,1,64.57
86,69,Product 8,1,230.89
87,8,Product 10,2,220.05
88,47,Product 1,3,172.07
89,70,Product 2,4,149.02
90,180,Product 1,5,262.15
91,196,Product 5,4,106.56
92,80,Product 4,2,287.54
93,87,Product 3,5,14.45
94,90,Product 9,5,281.78
95,2,Product 10,2,289.0
96,47,Product 9,3,44.02
97,37,Product 7,5,299.88
98,145,Product 2,3,148.89
99,169,Product 5,2,80.35
100,103,Product 4,4,185.28
101,18,Product 5,5,69.31
102,37,Product 2,3,275.39
103,190,Product 1,5,170.1
104,163,Product 4,3,234.9
105,8,Product 7,5,120.39
106,24,Product 10,5,164.76
107,192,Product 8,5,114.19
108,136,Product 2,4,85.85
109,56,Product 2,5,158.72
110,97,Product 8,3,154.21
111,108,Product 10,4,38.6
112,117,Product 9,1,294.58
113,88,Product 1,3,146.15
