order_id,customer_id,order_date,amount
1,20,2023-03-29,629.02
2,43,2022-10-12,413.42
3,38,2022-07-05,698.98
4,24,2023-08-23,522.78
5,31,2023-03-23,604.0
6,36,2023-10-13,270.58
7,34,2023-05-19,656.01
8,23,2022-04-04,486.59
9,28,2023-04-27,683.5
10,48,2022-12-23,903.96
11,36,2023-02-23,491.99
12,22,2022-12-08,323.25
13,23,2022-11-25,569.27
14,45,2023-11-18,120.17
15,30,2022-04-18,947.97
16,18,2022-06-14,988.27
17,20,2022-12-04,334.2
18,17,2023-02-26,963.93
19,15,2023-12-12,705.8
20,8,2023-05-23,483.99
21,47,2022-10-23,337.02
22,13,2023-11-10,999.4
23,21,2023-02-15,860.67
24,8,2023-07-18,151.32
25,48,2022-02-07,412.3
26,35,2023-04-11,391.01
27,49,2022-04-01,331.08
28,45,2022-11-19,714.32
29,12,2022-09-16,70.84
30,13,2022-11-28,838.54
31,14,2022-04-29,426.02
32,48,2023-02-18,57.69
33,31,2023-06-11,871.81
34,18,2022-01-02,789.4
35,47,2023-11-05,974.92
36,38,2023-07-10,915.09
37,49,2023-04-19,757.91
38,34,2023-02-28,841.2
39,39,2022-02-25,907.79
40,19,2022-07-12,786.95
41,7,2023-06-15,268.61
42,13,2023-01-06,811.84
43,19,2023-09-30,258.05
44,15,2023-05-26,230.63
45,24,2023-10-03,288.1
46,12,2023-03-29,767.8
47,20,2022-02-22,779.1
48,1,2022-07-28,696.81
49,46,2022-10-01,179.94
50,35,2023-07-17,142.31
51,9,2022-05-15,646.09
52,18,2022-10-22,87.45
53,3,2023-03-25,799.18
54,4,2023-12-17,81.7
55,36,2023-05-12,396.62
56,19,2022-05-05,174.84
57,45,2022-01-30,914.15
58,9,2023-10-08,360.38
59,41,2023-09-16,444.73
60,49,2022-09-03,240.76
61,32,2023-12-28,797.19
62,7,2022-06-12,882.64
63,1,2022-11-15,397.56
64,37,2023-07-19,526.71
65,19,2022-01-15,308.9
66,31,2023-07-20,206.32
67,31,2023-02-22,918.35
68,29,2022-04-06,946.98
69,22,2022-08-19,969.01
70,12,2022-04-27,330.38
71,4,2023-04-18,876.88
72,17,2022-05-01,814.02
73,31,2023-10-26,494.91
74,8,2022-06-07,121.53
75,5,2023-05-26,766.44
76,26,2022-10-26,264.33
77,32,2023-06-06,692.51
78,5,2023-12-24,690.69
79,37,2022-10-07,427.54
80,41,2023-03-02,853.46
81,44,2023-05-10,579.45
82,4,2023-04-29,135.79
83,10,2022-09-07,424.85
84,10,2023-04-13,301.24
85,37,2023-07-19,167.41
86,20,2022-05-29,400.16
87,6,2023-01-28,761.56
88,16,2022-07-15,299.05
89,8,2023-09-06,411.97
90,36,2023-06-05,656.62
91,49,2022-05-20,402.9
92,27,2022-03-13,691.09
93,39,2022-10-10,497.9
94,39,2023-03-01,638.57
95,40,2022-12-15,946.01
96,15,2023-06-04,361.61
97,50,2022-10-01,629.58
98,34,2022-01-03,665.27
99,25,2022-10-17,653.63
100,29,2022-11-02,491.05
101,29,2023-08-25,716.02
102,20,2023-08-17,666.78
103,38,2023-11-07,160.84
104,28,2023-05-17,93.08
105,20,2022-06-02,85.35
106,37,2023-04-03,996.13
107,40,2023-07-06,160.31
108,4,2023-05-11,273.06
109,40,2022-12-20,560.67
110,48,2022-12-07,419.21
111,7,2023-07-20,402.46
112,49,2023-07-11,951.91
113,14,2023-01-22,711.66
114,41,2023-04-12,563.18
115,14,2022-11-26,607.97
116,17,2022-07-13,740.27
117,43,2023-12-16,891.14
118,6,2022-09-02,672.18
119,11,2023-08-09,842.01
120,16,2023-01-28,634.87
121,12,2022-08-28,942.1
122,36,2023-02-25,315.75
123,5,2022-02-14,705.77
124,11,2022-11-22,256.41
125,1,2023-04-30,472.46
126,27,2023-12-24,274.31
127,29,2023-01-26,394.55
128,45,2023-01-31,981.88
129,39,2023-11-11,398.97
130,31,2023-10-30,906.61
131,19,2022-06-05,662.59
132,3,2023-05-23,107.52
133,15,2022-02-07,312.09
134,19,2022-05-10,969.8
135,46,2023-05-30,951.56
136,19,2023-08-28,832.98
137,45,2022-12-06,137.09
138,30,2022-04-13,251.5
139,5,2023-03-27,657.52
140,44,2022-04-13,972.54
141,15,2023-06-23,98.05
142,17,2023-04-13,366.83
143,41,2022-01-16,989.38
144,38,2022-05-28,797.63
145,43,2023-02-24,244.95
146,13,2023-11-02,838.33
147,28,2022-06-08,576.5
148,8,2022-03-18,607.06
149,35,2023-04-26,822.4
150,15,2022-09-29,271.35
151,42,2022-12-13,785.65
152,10,2023-10-01,799.21
153,18,2023-12-11,616.18
154,10,2023-02-12,313.41
155,5,2023-10-28,984.83
156,4,2022-03-24,988.15
157,11,2022-12-03,563.2
158,20,2023-11-22,808.59
159,39,2023-07-01,154.43
160,48,2023-01-25,873.13
161,37,2022-11-21,175.21
162,19,2023-10-04,390.33
163,29,2023-05-15,799.01
164,8,2023-07-09,609.41
165,30,2022-02-06,64.99
166,45,2023-09-25,302.1
167,20,2022-03-12,170.42
168,45,2022-08-29,449.91
169,26,2023-10-09,157.97
170,18,2023-12-02,110.38
171,33,2022-10-22,475.86
172,35,2022-08-21,393.94
173,32,2022-04-03,613.98
174,29,2023-03-21,479.41
175,6,2022-04-11,260.47
176,39,2023-10-11,634.35
177,3,2023-12-22,740.88
178,28,2022-04-13,913.31
179,48,2023-03-31,675.96
180,21,2022-06-20,336.55
181,39,2023-12-12,661.17
182,17,2022-11-03,79.59
183,2,2022-01-30,998.66
184,6,2022-02-17,854.93
185,15,2022-11-29,454.96
186,44,2022-02-27,152.56
187,37,2022-10-28,726.78
188,38,2023-01-03,471.38
189,2,2023-01-19,904.3
190,49,2023-03-18,356.01
191,44,2022-05-30,190.92
192,18,2022-09-08,169.88
193,37,2023-06-28,643.1
194,3,2023-02-26,606.1
195,49,2023-08-03,726.55
196,49,2023-11-30,411.86
197,12,2022-07-04,617.52
198,31,2022-06-24,330.15
199,34,2022-06-29,530.27
200,42,2022-03-22,458.69
