year,Finland,Sweden,Norway,Denmark,Iceland
1960,4429634,7484656,3581239,4579603,175574
1961,4461005,7519998,3609800,4611687,179029
1962,4491443,7561588,3638918,4647727,182378
1963,4523309,7604328,3666537,4684483,185653
1964,4548543,7661354,3694339,4722072,188983
1965,4563732,7733853,3723168,4759012,192286
1966,4580869,7807797,3753012,4797381,195570
1967,4605744,7867931,3784539,4835354,198751
1968,4626469,7912273,3816486,4864883,201488
1969,4623785,7968072,3847707,4891860,203369
1970,4606307,8042801,3875763,4928757,204438
1971,4612124,8098334,3903039,4963126,206098
1972,4639657,8122300,3933004,4991596,209137
1973,4666081,8136312,3960612,5021861,212317
1974,4690574,8159955,3985258,5045297,215209
1975,4711440,8192437,4007313,5059862,217979
1976,4725664,8222286,4026152,5072596,220154
1977,4738902,8251540,4043205,5088419,221799
1978,4752528,8275599,4058671,5104248,223537
1979,4764690,8293678,4072517,5116801,225735
1980,4779535,8310531,4085620,5123027,228138
1981,4799964,8320503,4099702,5121572,230755
1982,4826933,8325263,4114787,5117810,233860
1983,4855787,8329033,4128432,5114297,236977
1984,4881803,8336605,4140099,5111619,239511
1985,4902206,8350386,4152516,5113691,241405
1986,4918154,8369829,4167354,5120534,243180
1987,4932123,8397804,4186905,5127024,245859
1988,4946481,8436489,4209488,5129516,249740
1989,4964371,8492964,4226901,5132594,252852
1990,4986431,8558835,4241473,5140939,254826
1991,5013740,8617375,4261732,5154298,257797
1992,5041992,8668067,4286401,5171370,261057
1993,5066447,8718561,4311991,5188628,263725
1994,5088333,8780745,4336613,5206180,266021
1995,5107790,8826939,4359184,5233373,267468
1996,5124573,8840998,4381336,5263074,268916
1997,5139835,8846062,4405157,5284991,271128
1998,5153498,8850974,4431464,5304219,274047
1999,5165474,8857874,4461913,5321799,277381
2000,5176209,8872109,4490967,5339616,281205
2001,5188008,8895960,4513751,5358783,284968
2002,5200598,8924958,4538159,5375931,287523
2003,5213014,8958229,4564855,5390574,289521
2004,5228172,8993531,4591910,5404523,292074
2005,5246096,9029572,4623291,5419432,296734
2006,5266268,9080505,4660677,5437272,303782
2007,5288720,9148092,4709153,5461438,311566
2008,5313399,9219637,4768212,5493621,317414
2009,5338871,9298515,4828726,5523095,318499
2010,5363352,9378126,4889252,5547683,318041
2011,5388272,9449213,4953088,5570572,319014
2012,5413971,9519374,5018573,5591572,320716
2013,5438972,9600379,5079623,5614932,323764
2014,5461512,9696110,5137232,5643475,327386
2015,5479531,9799186,5188607,5683483,330815
2016,5495303,9923085,5234519,5728010,335439
2017,5508214,10057698,5276968,5764980,343400
2018,5518050,10183175,5314336,5797446,353574
