year,most_common_male_name,male_name_count,most_common_female_name,female_name_count
1910,John,1326,Mary,2913
1911,John,1672,Mary,3188
1912,John,3067,Mary,4106
1913,John,3706,Mary,4739
1914,John,5192,Mary,5981
1915,John,6443,Mary,7970
1916,John,6543,Mary,7730
1917,John,6620,Mary,7988
1918,John,7557,Mary,8184
1919,John,6791,Mary,7428
1920,John,7041,Mary,7650
1921,John,7194,Mary,7772
1922,John,7073,Mary,7302
1923,John,7211,Mary,7035
1924,John,7262,Mary,7200
1925,John,6937,Mary,6563
1926,John,6647,Mary,6008
1927,John,6684,Mary,6227
1928,John,6353,Mary,5741
1929,John,6253,Mary,5303
1930,John,6239,Mary,5187
1931,Robert,5952,Mary,4916
1932,John,5873,Mary,4535
1933,John,5709,Mary,4122
1934,Robert,5591,Mary,4091
1935,Robert,5762,Mary,3929
1936,Robert,6120,Mary,3933
1937,Robert,6530,Mary,4037
1938,Robert,6477,Barbara,4215
1939,Robert,6115,Barbara,3938
1940,Robert,6283,Mary,3943
1941,Robert,6564,Barbara,4238
1942,Robert,7663,Barbara,4945
1943,Robert,7923,Barbara,4508
1944,Robert,7225,Mary,4139
1945,Robert,7607,Barbara,4117
1946,Robert,9295,Barbara,4925
1947,Robert,10026,Linda,7542
1948,Robert,9011,Linda,6946
1949,Robert,8850,Linda,6652
1950,Robert,8626,Linda,6044
1951,Robert,9053,Patricia,5678
1952,Robert,9219,Patricia,5307
1953,Robert,9060,Mary,4914
1954,Robert,8914,Mary,5472
1955,Robert,8815,Susan,5140
1956,Michael,8715,Susan,5093
1957,Michael,9115,Mary,5272
1958,Michael,9215,Susan,5012
1959,John,8712,Mary,4871
1960,Michael,8926,Mary,4632
1961,Michael,9054,Mary,4432
1962,Michael,8865,Lisa,4041
1963,Michael,9241,Lisa,5137
1964,John,8893,Lisa,4962
1965,Michael,8670,Lisa,5612
1966,Michael,8546,Lisa,5144
1967,Michael,8193,Lisa,4825
1968,Michael,8081,Lisa,4498
1969,Michael,8244,Lisa,4171
1970,Michael,8197,Jennifer,4695
1971,Michael,6838,Jennifer,5456
1972,Michael,6344,Jennifer,6065
1973,Michael,5880,Jennifer,5649
1974,Michael,6060,Jennifer,5673
1975,Michael,6215,Jennifer,5323
1976,Michael,6180,Jennifer,5570
1977,Michael,6322,Jennifer,5543
1978,Michael,6491,Jennifer,5295
1979,Michael,6587,Jennifer,5462
1980,Michael,6909,Jennifer,5612
1981,Michael,7151,Jennifer,5629
1982,Michael,7160,Jennifer,5813
1983,Michael,7399,Jennifer,5830
1984,Michael,7478,Jennifer,5519
1985,Michael,7216,Jessica,5537
1986,Michael,7261,Jessica,5964
1987,Michael,7453,Jessica,6846
1988,Michael,7761,Jessica,6492
1989,Michael,7857,Jessica,6539
1990,Michael,8247,Jessica,6636
1991,Michael,7572,Jessica,6952
1992,Michael,6638,Jessica,6341
1993,Michael,5847,Jessica,5552
1994,Daniel,5117,Jessica,5306
1995,Daniel,5005,Jessica,4621
1996,Daniel,4705,Jessica,3839
1997,Daniel,4453,Jessica,3218
1998,Daniel,4318,Jessica,2846
1999,Daniel,4354,Emily,2825
2000,Daniel,4342,Emily,2958
2001,Daniel,4165,Emily,2928
2002,Daniel,4133,Emily,3021
2003,Daniel,4033,Emily,3416
2004,Daniel,4170,Emily,3416
2005,Daniel,3915,Emily,3283
2006,Daniel,3830,Emily,3104
2007,Daniel,3870,Emily,2964
2008,Daniel,3754,Isabella,2789
2009,Daniel,3394,Isabella,3162
2010,Jacob,3355,Isabella,3370
2011,Jacob,3171,Sophia,3569
2012,Jacob,2981,Sophia,3644
2013,Jacob,2891,Sophia,3468
2014,Noah,2782,Sophia,3182
2015,Noah,2774,Sophia,2956
2016,Noah,2698,Mia,2801
2017,Noah,2527,Emma,2740
2018,Noah,2571,Emma,2746
2019,Noah,2677,Olivia,2608
2020,Noah,2625,Olivia,2350
2021,Noah,2591,Olivia,2395
