user_pseudo_id,event_count,total_revenue
7134559299.4601048201,132,0.0012
72275845.1755516158,61,0.000395
4229717.4815659011,187,0.000209
7191442.1007439176,149,0.000182
4537449.6402312251,140,0.000168
8321172.7493780280,120,0.000154
34971587.2279395517,105,0.000144
17723870.8339931689,104,0.000144
6486077.9466352381,126,0.00014
83387184.5649814185,55,0.000135
3691687.9126020150,90,0.000132
4314741588.8945045155,194,0.000122
77358157.4999153196,178,0.00012
59566070.4632667722,107,0.00011
55610405.6968910754,417,0.000108
7581292.6376201300,300,0.000104
1282829.2912367074,121,0.000104
8586642.3694137955,70,0.000104
2072888.9498118021,149,9.9e-05
3612440628.1896153694,185,9.8e-05
52862856.2554999204,113,9.8e-05
66744288.9282795542,77,9.6e-05
1477673.1682973285,93,9.6e-05
38990438.1040760285,62,9.6e-05
4040287.7226508684,244,9.2e-05
68709941.9241203499,102,9.2e-05
18999567.7932809446,92,9.1e-05
77327517.5603080726,64,9e-05
3448681.1233457247,120,9e-05
26725725.4543798623,310,8.9e-05
55551865.7737301653,39,8.9e-05
11651833.7671554272,55,8.9e-05
47875006.0956034934,202,8.9e-05
2095299.8404862362,778,8.8e-05
82626182.5580281696,141,8.8e-05
3672912.9850906649,331,8.8e-05
8076546.3814078834,507,8.6e-05
3759465.8622559344,391,8.6e-05
35347718.5076451257,119,8.6e-05
9039571.9454436357,96,8.4e-05
33441899.6129787929,265,8.4e-05
38807944.2775419825,276,8.4e-05
72957336.1004222273,269,8.4e-05
84080911.7958476288,78,8e-05
2127367.4441935233,122,8e-05
4285173.0566058301,122,7.7e-05
99826321.7020196151,470,7.6e-05
1939811.6948974674,61,7.6e-05
49358925.4763310482,164,7.5e-05
6147283.5287339204,80,7.2e-05
83812359.6098055338,226,7e-05
88416652.0838323875,58,6.9e-05
4670841.6660469429,403,6.9e-05
12616947.5651073543,86,6.7e-05
19173235.3605594670,428,6e-05
3344699.5675826086,52,6e-05
4362150.8708618344,130,5.6e-05
7134697.0673803211,45,5.5e-05
45237746.5667441680,85,5.5e-05
7309138.5083786544,37,5.5e-05
6008274.6681672862,101,5.2e-05
47946831.1066900442,38,5.2e-05
5820769.2126830378,66,5.2e-05
4588111.7628998264,59,5e-05
63170790.9743904882,139,4.9e-05
1279595.7348368743,76,4.8e-05
75939083.3310904019,37,4.8e-05
85958053.1882781212,55,4.8e-05
6257810.1983753715,156,4.8e-05
77052125.0799530822,148,4.8e-05
71840844.1071904695,41,4.8e-05
9205226.1141427861,73,4.7e-05
5250455.6726775304,82,4.7e-05
79173479.1654218830,81,4.4e-05
7688722.6706829800,80,4.4e-05
2190489673.9207557312,74,4.4e-05
49824355.4882118513,135,4.4e-05
56892325.6022498962,50,4.4e-05
2515516062.2539840036,56,4.4e-05
4164125.0295010106,263,4.4e-05
7842652.9637647224,88,4.4e-05
4147940.4606723766,151,4.4e-05
21879794.5087489628,49,4.4e-05
40901811.1171290722,92,4.4e-05
4059472.8389313570,48,4.4e-05
60067158.9754150018,196,4.2e-05
9102715.4021885811,82,4.2e-05
8874942.8045385315,57,4.1e-05
1120390.5481159886,116,4e-05
6914129.2054037797,250,4e-05
75867292.5873201259,53,3.8e-05
80133734.9366717619,207,3.8e-05
2280241.7950036696,78,3.8e-05
61771796.6934450948,63,3.8e-05
16239791.9542908331,87,3.8e-05
27837683.7442937238,48,3.8e-05
70133129.7678205313,58,3.6e-05
2588693.4592272163,43,3.5e-05
86162767.5474345521,105,3.4e-05
42349620.0357124530,46,3.4e-05
53447288.4859183003,87,3.3e-05
8327781.0896379000,57,3.2e-05
65073430.5364943640,83,3.2e-05
46914181.4204010860,85,3.2e-05
26275601.6544751761,59,3.2e-05
80818976.3243168408,121,3.2e-05
5989927.0424246858,71,3.2e-05
1962634.4928996507,45,3.2e-05
4681297.3857867397,166,3.2e-05
6088376299.3777008465,57,3.2e-05
8272346.3449861049,28,3e-05
83240333.3705200960,82,3e-05
41838139.7242475574,234,2.8e-05
21590807.9258004934,134,2.8e-05
25974912.9608293940,117,2.8e-05
67633752.1426304482,136,2.5e-05
65154462.1769822275,96,2.4e-05
61118967.8056730478,73,2.4e-05
7127030.2823157340,66,2.4e-05
77637054.0215352743,218,2.4e-05
55607257.5767935321,126,2.4e-05
2884152188.9848456767,56,2.4e-05
3257974.8575346035,77,2.4e-05
3762574.2588179325,166,2.4e-05
5206744.7117460003,55,2.4e-05
8994558.9516186481,64,2.2e-05
23023007.7963340657,75,2.2e-05
13947818.2704676156,81,2.2e-05
41930655.1128174119,64,2.2e-05
7411487.6036119390,134,2e-05
48332896.7948919680,35,2e-05
4185649.9541505242,162,2e-05
15302055.4978490469,35,2e-05
44546067.0576823511,65,2e-05
35763731.0874717473,82,2e-05
47628074.9193506873,112,1.9e-05
13514937.5999371679,35,1.7e-05
8879858.9670506081,148,1.7e-05
2798934.1669190108,65,1.7e-05
90281510.6560674856,63,1.7e-05
2248754.7783173763,91,1.6e-05
6907870.6816785534,245,1.6e-05
75363582.3498268228,118,1.6e-05
65868001.1285724857,115,1.6e-05
27863624.7256240425,75,1.6e-05
43167694.9021346768,92,1.6e-05
5107382543.8207680939,67,1.6e-05
58494000.3106433806,94,1.6e-05
50497945.7749506520,39,1.6e-05
3656062.7172376657,236,1.6e-05
22753922.9124622984,61,1.5e-05
8579773.8025468958,44,1.4e-05
39843505.6953825231,65,1.4e-05
62148781.8412472855,126,1.4e-05
50131723.8552639593,47,1.3e-05
85925370.4835043900,290,1.3e-05
67694191.0095135961,139,1.3e-05
31534674.8755593671,43,1.3e-05
4291080.4811254869,61,1.3e-05
33597428.6373883888,67,1.3e-05
50884028.1034896087,58,1.2e-05
22909370.2921134609,63,1.2e-05
3361034.4507376856,62,1.2e-05
8808706.6279424881,195,1e-05
73713109.3868001160,72,1e-05
24202040.2600884676,87,1e-05
50683324.7270306410,69,8e-06
1461470.1796917150,62,5e-06
